time_d;Date;treatment;N_alive;Temp
-2;05.05.2024;No addition;60;16.1
-2;05.05.2024;Olivine 250;60;15.5
-2;05.05.2024;Olivine 500;60;15.8
-2;05.05.2024;Dissolved 250;60;16.3
-2;05.05.2024;Dissolved 500;60;16.3
-1;06.05.2024;No addition;60;
-1;06.05.2024;Olivine 250;59;
-1;06.05.2024;Olivine 500;60;
-1;06.05.2024;Dissolved 250;60;
-1;06.05.2024;Dissolved 500;60;
0;07.05.2024;No addition;57;
0;07.05.2024;Olivine 250;57;
0;07.05.2024;Olivine 500;57;
0;07.05.2024;Dissolved 250;57;
0;07.05.2024;Dissolved 500;57;
1;08.05.2024;No addition;57;15.8
1;08.05.2024;Olivine 250;57;15.7
1;08.05.2024;Olivine 500;57;15.8
1;08.05.2024;Dissolved 250;57;16.1
1;08.05.2024;Dissolved 500;57;15.8
2;09.05.2024;No addition;57;
2;09.05.2024;Olivine 250;57;
2;09.05.2024;Olivine 500;57;
2;09.05.2024;Dissolved 250;57;
2;09.05.2024;Dissolved 500;57;
3;10.05.2024;No addition;57;
3;10.05.2024;Olivine 250;57;
3;10.05.2024;Olivine 500;57;
3;10.05.2024;Dissolved 250;57;
3;10.05.2024;Dissolved 500;57;
4;11.05.2024;No addition;57;
4;11.05.2024;Olivine 250;57;
4;11.05.2024;Olivine 500;57;
4;11.05.2024;Dissolved 250;57;
4;11.05.2024;Dissolved 500;57;
5;12.05.2024;No addition;57;
5;12.05.2024;Olivine 250;57;
5;12.05.2024;Olivine 500;57;
5;12.05.2024;Dissolved 250;57;
5;12.05.2024;Dissolved 500;57;
6;13.05.2024;No addition;56;
6;13.05.2024;Olivine 250;57;
6;13.05.2024;Olivine 500;56;
6;13.05.2024;Dissolved 250;57;
6;13.05.2024;Dissolved 500;57;
7;14.05.2024;No addition;55;17
7;14.05.2024;Olivine 250;56;17.4
7;14.05.2024;Olivine 500;56;17.8
7;14.05.2024;Dissolved 250;56;17.5
7;14.05.2024;Dissolved 500;56;17.4
8;15.05.2024;No addition;55;
8;15.05.2024;Olivine 250;56;
8;15.05.2024;Olivine 500;56;
8;15.05.2024;Dissolved 250;56;
8;15.05.2024;Dissolved 500;56;
9;16.05.2024;No addition;55;
9;16.05.2024;Olivine 250;54;
9;16.05.2024;Olivine 500;55;
9;16.05.2024;Dissolved 250;53;
9;16.05.2024;Dissolved 500;55;
10;17.05.2024;No addition;55;17.9
10;17.05.2024;Olivine 250;53;18.2
10;17.05.2024;Olivine 500;54;18.6
10;17.05.2024;Dissolved 250;53;18.3
10;17.05.2024;Dissolved 500;55;18.3
11;18.05.2024;No addition;55;
11;18.05.2024;Olivine 250;53;
11;18.05.2024;Olivine 500;54;
11;18.05.2024;Dissolved 250;53;
11;18.05.2024;Dissolved 500;54;
12;19.05.2024;No addition;53;
12;19.05.2024;Olivine 250;53;
12;19.05.2024;Olivine 500;51;
12;19.05.2024;Dissolved 250;51;
12;19.05.2024;Dissolved 500;54;
13;20.05.2024;No addition;51;
13;20.05.2024;Olivine 250;52;
13;20.05.2024;Olivine 500;51;
13;20.05.2024;Dissolved 250;51;
13;20.05.2024;Dissolved 500;51;
14;21.05.2024;No addition;51;
14;21.05.2024;Olivine 250;52;
14;21.05.2024;Olivine 500;51;
14;21.05.2024;Dissolved 250;50;
14;21.05.2024;Dissolved 500;50;
15;22.05.2024;No addition;51;18.2
15;22.05.2024;Olivine 250;52;18.9
15;22.05.2024;Olivine 500;49;19.1
15;22.05.2024;Dissolved 250;50;18.8
15;22.05.2024;Dissolved 500;48;18.8
16;23.05.2024;No addition;51;
16;23.05.2024;Olivine 250;52;
16;23.05.2024;Olivine 500;48;
16;23.05.2024;Dissolved 250;48;
16;23.05.2024;Dissolved 500;48;
17;24.05.2024;No addition;51;
17;24.05.2024;Olivine 250;52;
17;24.05.2024;Olivine 500;47;
17;24.05.2024;Dissolved 250;48;
17;24.05.2024;Dissolved 500;46;
18;25.05.2024;No addition;51;
18;25.05.2024;Olivine 250;51;
18;25.05.2024;Olivine 500;46;
18;25.05.2024;Dissolved 250;48;
18;25.05.2024;Dissolved 500;46;
19;26.05.2024;No addition;51;
19;26.05.2024;Olivine 250;50;
19;26.05.2024;Olivine 500;45;
19;26.05.2024;Dissolved 250;48;
19;26.05.2024;Dissolved 500;46;
20;27.05.2024;No addition;51;18.4
20;27.05.2024;Olivine 250;49;18.8
20;27.05.2024;Olivine 500;44;19.2
20;27.05.2024;Dissolved 250;47;19
20;27.05.2024;Dissolved 500;46;18.9
21;28.05.2024;No addition;43;
21;28.05.2024;Olivine 250;41;
21;28.05.2024;Olivine 500;35;
21;28.05.2024;Dissolved 250;39;
21;28.05.2024;Dissolved 500;36;
22;29.05.2024;No addition;38;17.4
22;29.05.2024;Olivine 250;35;17.4
22;29.05.2024;Olivine 500;30;17.6
22;29.05.2024;Dissolved 250;34;17.7
22;29.05.2024;Dissolved 500;31;17.7
23;30.05.2024;No addition;38;
23;30.05.2024;Olivine 250;35;
23;30.05.2024;Olivine 500;30;
23;30.05.2024;Dissolved 250;34;
23;30.05.2024;Dissolved 500;31;
24;31.05.2024;No addition;38;
24;31.05.2024;Olivine 250;35;
24;31.05.2024;Olivine 500;30;
24;31.05.2024;Dissolved 250;34;
24;31.05.2024;Dissolved 500;31;
25;01.06.2024;No addition;38;
25;01.06.2024;Olivine 250;35;
25;01.06.2024;Olivine 500;30;
25;01.06.2024;Dissolved 250;34;
25;01.06.2024;Dissolved 500;31;
26;02.06.2024;No addition;38;
26;02.06.2024;Olivine 250;35;
26;02.06.2024;Olivine 500;30;
26;02.06.2024;Dissolved 250;34;
26;02.06.2024;Dissolved 500;30;
27;03.06.2024;No addition;38;
27;03.06.2024;Olivine 250;35;
27;03.06.2024;Olivine 500;30;
27;03.06.2024;Dissolved 250;34;
27;03.06.2024;Dissolved 500;29;
28;04.06.2024;No addition;38;
28;04.06.2024;Olivine 250;35;
28;04.06.2024;Olivine 500;30;
28;04.06.2024;Dissolved 250;34;
28;04.06.2024;Dissolved 500;29;
29;05.06.2024;No addition;37;
29;05.06.2024;Olivine 250;35;
29;05.06.2024;Olivine 500;30;
29;05.06.2024;Dissolved 250;34;
29;05.06.2024;Dissolved 500;29;
30;06.06.2024;No addition;37;17.4
30;06.06.2024;Olivine 250;35;17.5
30;06.06.2024;Olivine 500;29;17.8
30;06.06.2024;Dissolved 250;34;17.6
30;06.06.2024;Dissolved 500;29;17.5
31;07.06.2024;No addition;37;
31;07.06.2024;Olivine 250;35;
31;07.06.2024;Olivine 500;28;
31;07.06.2024;Dissolved 250;34;
31;07.06.2024;Dissolved 500;29;
32;08.06.2024;No addition;37;
32;08.06.2024;Olivine 250;35;
32;08.06.2024;Olivine 500;28;
32;08.06.2024;Dissolved 250;34;
32;08.06.2024;Dissolved 500;29;
33;09.06.2024;No addition;37;
33;09.06.2024;Olivine 250;35;
33;09.06.2024;Olivine 500;27;
33;09.06.2024;Dissolved 250;34;
33;09.06.2024;Dissolved 500;29;
34;10.06.2024;No addition;36;
34;10.06.2024;Olivine 250;35;
34;10.06.2024;Olivine 500;27;
34;10.06.2024;Dissolved 250;33;
34;10.06.2024;Dissolved 500;29;
35;11.06.2024;No addition;36;
35;11.06.2024;Olivine 250;35;
35;11.06.2024;Olivine 500;27;
35;11.06.2024;Dissolved 250;33;
35;11.06.2024;Dissolved 500;29;
36;12.06.2024;No addition;36;16.4
36;12.06.2024;Olivine 250;35;16.5
36;12.06.2024;Olivine 500;27;16.9
36;12.06.2024;Dissolved 250;33;16.7
36;12.06.2024;Dissolved 500;29;16.6
37;13.06.2024;No addition;36;
37;13.06.2024;Olivine 250;34;
37;13.06.2024;Olivine 500;26;
37;13.06.2024;Dissolved 250;33;
37;13.06.2024;Dissolved 500;29;
38;14.06.2024;No addition;36;
38;14.06.2024;Olivine 250;34;
38;14.06.2024;Olivine 500;26;
38;14.06.2024;Dissolved 250;33;
38;14.06.2024;Dissolved 500;29;
39;15.06.2024;No addition;36;
39;15.06.2024;Olivine 250;34;
39;15.06.2024;Olivine 500;26;
39;15.06.2024;Dissolved 250;33;
39;15.06.2024;Dissolved 500;29;
40;16.06.2024;No addition;36;
40;16.06.2024;Olivine 250;34;
40;16.06.2024;Olivine 500;26;
40;16.06.2024;Dissolved 250;32;
40;16.06.2024;Dissolved 500;28;
41;17.06.2024;No addition;36;
41;17.06.2024;Olivine 250;34;
41;17.06.2024;Olivine 500;26;
41;17.06.2024;Dissolved 250;31;
41;17.06.2024;Dissolved 500;28;
42;18.06.2024;No addition;28;
42;18.06.2024;Olivine 250;26;
42;18.06.2024;Olivine 500;18;
42;18.06.2024;Dissolved 250;23;
42;18.06.2024;Dissolved 500;19;
43;19.06.2024;No addition;22;17.8
43;19.06.2024;Olivine 250;20;18
43;19.06.2024;Olivine 500;11;18.3
43;19.06.2024;Dissolved 250;18;18
43;19.06.2024;Dissolved 500;14;18
44;20.06.2024;No addition;22;
44;20.06.2024;Olivine 250;20;
44;20.06.2024;Olivine 500;11;
44;20.06.2024;Dissolved 250;18;
44;20.06.2024;Dissolved 500;14;
45;21.06.2024;No addition;22;
45;21.06.2024;Olivine 250;20;
45;21.06.2024;Olivine 500;11;
45;21.06.2024;Dissolved 250;18;
45;21.06.2024;Dissolved 500;14;
46;22.06.2024;No addition;22;
46;22.06.2024;Olivine 250;20;
46;22.06.2024;Olivine 500;11;
46;22.06.2024;Dissolved 250;18;
46;22.06.2024;Dissolved 500;14;
47;23.06.2024;No addition;22;
47;23.06.2024;Olivine 250;20;
47;23.06.2024;Olivine 500;11;
47;23.06.2024;Dissolved 250;18;
47;23.06.2024;Dissolved 500;14;
48;24.06.2024;No addition;22;
48;24.06.2024;Olivine 250;20;
48;24.06.2024;Olivine 500;11;
48;24.06.2024;Dissolved 250;18;
48;24.06.2024;Dissolved 500;14;
49;25.06.2024;No addition;22;
49;25.06.2024;Olivine 250;19;
49;25.06.2024;Olivine 500;11;
49;25.06.2024;Dissolved 250;18;
49;25.06.2024;Dissolved 500;13;
50;26.06.2024;No addition;22;19
50;26.06.2024;Olivine 250;19;19.3
50;26.06.2024;Olivine 500;11;19.7
50;26.06.2024;Dissolved 250;18;19.2
50;26.06.2024;Dissolved 500;13;19.3
51;27.06.2024;No addition;22;
51;27.06.2024;Olivine 250;19;
51;27.06.2024;Olivine 500;11;
51;27.06.2024;Dissolved 250;18;
51;27.06.2024;Dissolved 500;13;
52;28.06.2024;No addition;21;
52;28.06.2024;Olivine 250;19;
52;28.06.2024;Olivine 500;11;
52;28.06.2024;Dissolved 250;17;
52;28.06.2024;Dissolved 500;13;
53;29.06.2024;No addition;20;
53;29.06.2024;Olivine 250;19;
53;29.06.2024;Olivine 500;11;
53;29.06.2024;Dissolved 250;17;
53;29.06.2024;Dissolved 500;13;
54;30.06.2024;No addition;20;
54;30.06.2024;Olivine 250;19;
54;30.06.2024;Olivine 500;11;
54;30.06.2024;Dissolved 250;17;
54;30.06.2024;Dissolved 500;13;
55;01.07.2024;No addition;20;
55;01.07.2024;Olivine 250;19;
55;01.07.2024;Olivine 500;11;
55;01.07.2024;Dissolved 250;17;
55;01.07.2024;Dissolved 500;13;
56;02.07.2024;No addition;20;19.1
56;02.07.2024;Olivine 250;19;19.1
56;02.07.2024;Olivine 500;11;19.8
56;02.07.2024;Dissolved 250;17;19.3
56;02.07.2024;Dissolved 500;13;19.3
57;03.07.2024;No addition;20;
57;03.07.2024;Olivine 250;19;
57;03.07.2024;Olivine 500;11;
57;03.07.2024;Dissolved 250;17;
57;03.07.2024;Dissolved 500;13;
58;04.07.2024;No addition;20;
58;04.07.2024;Olivine 250;19;
58;04.07.2024;Olivine 500;11;
58;04.07.2024;Dissolved 250;17;
58;04.07.2024;Dissolved 500;13;
59;05.07.2024;No addition;19;
59;05.07.2024;Olivine 250;19;
59;05.07.2024;Olivine 500;11;
59;05.07.2024;Dissolved 250;17;
59;05.07.2024;Dissolved 500;13;
60;06.07.2024;No addition;19;
60;06.07.2024;Olivine 250;19;
60;06.07.2024;Olivine 500;11;
60;06.07.2024;Dissolved 250;17;
60;06.07.2024;Dissolved 500;13;
61;07.07.2024;No addition;19;
61;07.07.2024;Olivine 250;19;
61;07.07.2024;Olivine 500;11;
61;07.07.2024;Dissolved 250;17;
61;07.07.2024;Dissolved 500;13;
62;08.07.2024;No addition;19;
62;08.07.2024;Olivine 250;19;
62;08.07.2024;Olivine 500;11;
62;08.07.2024;Dissolved 250;16;
62;08.07.2024;Dissolved 500;13;
63;09.07.2024;No addition;11;
63;09.07.2024;Olivine 250;8;
63;09.07.2024;Olivine 500;1;
63;09.07.2024;Dissolved 250;5;
63;09.07.2024;Dissolved 500;4;
64;10.07.2024;No addition;0;19.3
64;10.07.2024;Olivine 250;0;18.9
64;10.07.2024;Olivine 500;0;20
64;10.07.2024;Dissolved 250;0;19.5
64;10.07.2024;Dissolved 500;0;19.5
