day;Date;treatment;replicate;pH (filtered);pH_PreAlk_mean;pH_PreAlk_SD;TA_PreAlk (filtered);TA_PreAlk_mean;dTA_PreAlk;dTA_PreAlk_SD
-20;17.04.2024;No addition;1;8.035;8.040;0.006;2296.666;2294.854;0.000;2.784
-20;17.04.2024;;2;8.046;;;2291.649;;;
-20;17.04.2024;;3;8.04;;;2296.247;;;
-20;17.04.2024;Olivine 250;1;8.07;8.070;0.005;2289.757;2291.192;0.000;6.027
-20;17.04.2024;;2;8.065;;;2286.012;;;
-20;17.04.2024;;3;8.075;;;2297.808;;;
-20;17.04.2024;Olivine 500;1;8.043;8.043;0.002;2290.945;2290.895;0.000;0.751
-20;17.04.2024;;2;8.045;;;2290.122;;;
-20;17.04.2024;;3;8.042;;;2291.620;;;
-20;17.04.2024;Dissolved 250;1;8.13;8.107;0.020;2328.003;2303.847;0.000;20.924
-20;17.04.2024;;2;8.101;;;2291.383;;;
-20;17.04.2024;;3;8.091;;;2292.154;;;
-20;17.04.2024;Dissolved 500;1;8.033;8.019;0.021;2293.287;2288.811;0.000;8.622
-20;17.04.2024;;2;8.028;;;2294.275;;;
-20;17.04.2024;;3;7.995;;;2278.871;;;
-19;18.04.2024;No addition;1;8.097;8.073;0.022;2287.673;2285.593;0.000;5.590
-19;18.04.2024;;2;8.07;;;2279.261;;;
-19;18.04.2024;;3;8.053;;;2289.845;;;
-19;18.04.2024;Olivine 250;1;8.107;8.099;0.011;2348.057;2349.472;58.279;2.001
-19;18.04.2024;;2;8.091;;;2350.886;;;
-19;18.04.2024;;3;;;;;;;
-19;18.04.2024;Olivine 500;1;8.099;8.097;0.002;2395.767;2393.666;102.770;1.944
-19;18.04.2024;;2;8.096;;;2391.932;;;
-19;18.04.2024;;3;8.095;;;2393.298;;;
-18;19.04.2024;Olivine 500;1;8.196;8.180;0.016;2326.395;2330.343;39.447;3.535
-18;19.04.2024;;2;8.18;;;2331.418;;;
-18;19.04.2024;;3;8.165;;;2333.216;;;
-17;20.04.2024;No addition;1;8.09;8.082;0.007;2301.224;2298.089;0.000;3.531
-17;20.04.2024;;2;8.081;;;2298.780;;;
-17;20.04.2024;;3;8.076;;;2294.264;;;
-17;20.04.2024;Olivine 250;1;8.12;8.120;0.001;2401.599;2401.952;103.863;5.519
-17;20.04.2024;;2;8.12;;;2407.640;;;
-17;20.04.2024;;3;8.119;;;2396.618;;;
-17;20.04.2024;Olivine 500;1;8.13;8.129;0.001;2362.347;2363.551;65.462;4.277
-17;20.04.2024;;2;8.129;;;2360.005;;;
-17;20.04.2024;;3;8.129;;;2368.302;;;
-15;22.04.2024;No addition;1;8.093;8.086;0.007;2302.749;2302.748;0.000;0.835
-15;22.04.2024;;2;8.086;;;2303.583;;;
-15;22.04.2024;;3;8.08;;;2301.913;;;
-15;22.04.2024;Olivine 250;1;8.126;8.125;0.001;2448.314;2452.959;150.210;4.134
-15;22.04.2024;;2;8.124;;;2456.235;;;
-15;22.04.2024;;3;8.124;;;2454.327;;;
-15;22.04.2024;Olivine 500;1;8.131;8.130;0.001;2409.758;2413.513;110.765;3.452
-15;22.04.2024;;2;8.129;;;2414.229;;;
-15;22.04.2024;;3;8.13;;;2416.551;;;
-14;23.04.2024;Olivine 250;1;8.153;8.140;0.011;2468.645;2471.287;168.539;2.433
-14;23.04.2024;;2;8.137;;;2473.435;;;
-14;23.04.2024;;3;8.131;;;2471.781;;;
-14;23.04.2024;Olivine 500;1;8.14;8.138;0.002;2442.073;2448.999;146.251;12.807
-14;23.04.2024;;2;8.137;;;2463.777;;;
-14;23.04.2024;;3;8.138;;;2441.147;;;
-12;25.04.2024;No addition;1;8.089;8.088;0.002;2315.719;2315.909;21.055;1.470
-12;25.04.2024;;2;8.086;;;2314.543;;;
-12;25.04.2024;;3;8.088;;;2317.466;;;
-12;25.04.2024;Olivine 250;1;8.14;8.139;0.001;2507.374;2509.127;193.218;1.946
-12;25.04.2024;;2;8.138;;;2508.786;;;
-12;25.04.2024;;3;8.139;;;2511.221;;;
-12;25.04.2024;Olivine 500;1;8.151;8.152;0.001;2487.528;2489.844;173.935;3.044
-12;25.04.2024;;2;8.152;;;2493.292;;;
-12;25.04.2024;;3;8.153;;;2488.712;;;
