,100-F-T2-RE2-C_S87_,10-K-T1-Oli1-B_S12_,11-K-T1-Oli1-C_S23_,12-K-T1-Oli2-A_S34_,13-K-T1-Oli2-B_S44_,14-K-T1-Oli2-C_S55_,15-K-T1-Re1-A_S66_,16-K-T1-Re1-B_S77_,17-K-T1-Re1-C_S3_,18-K-T1-Re2-A_S13_,19-K-T1-Re2-B_S24_,1-K-T0-KO-A_S1_,21-K-T2-KO-A_S45_,22-K-T2-KO-B_S56_,23-K-T2-KO-C_S67_,24-K-T2-Oli1-A_S78_,25-K-T2-Oli1-B_S4_,26-K-T2-Oli1-C_S14_,27-K-T2-Oli2-A_S25_,28-K-T2-Oli2-B_S35_,29-K-T2-Oli2-C_S46_,30-K-T2-Re1-A_S57_,33-K-T2-Re2-A_S68_,34-K-T2-Re2-B_S79_,35-K-T2-Re2-C_S5_,36-K-T3-KO-A_S15_,37-K-T3-KO-B_S26_,38-K-T3-KO-C_S36_,39-K-T3-Oli1-A_S47_,3-K-T0-Re2-A_S22_,40-K-T3-Oli1-B_S58_,41-K-T3-Oli1-C_S69_,42-K-T3-Oli2-A_S80_,43-K-T3-Oli2-B_S6_,44-K-T3-Oli2-C_S16_,45-K-T3-Re1-A_S27_,46-K-T3-Re1-B_S37_,47-K-T3-Re1-C_S48_,48-K-T3-Re2-A_S59_,49-K-T3-Re2-B_S70_,4-K-T0-Oli1-A_S33_,50-K-T3-Re2-C_S81_,51-W-T0-KO-A_S7_,52-W-T0-Re1-A_S17_,53-W-T0-Re2-A_S28_,54-W-T0-Oli1-A_S38_,55-W-T0-Oli2-A_S49_,56-W-T1-KO-A_S60_,57-W-T1-KO-B_S71_,58-W-T1-KO-C_S82_,59-W-T1-Oli1-A_S8_,5-K-T0-Oli2-A_S43_,60-W-T1-Oli1-B_S18_,61-W-T1-Oli1-C_S29_,62-W-T1-Oli2-A_S39_,64-W-T1-Oli2-C_S50_,65-W-T1-Re1-A_S61_,66-W-T1-Re1-B_S72_,67-W-T1-Re1-C_S83_,68-W-T1-Re2-A_S9_,69-W-T1-Re2-B_S19_,6-K-T1-KO-A_S54_,70-W-T1-Re2-C_S30_,71-W-T2-KO-A_S40_,72-W-T2-KO-B_S51_,73-W-T2-KO-C_S62_,74-W-T2-Oli1-A_S73_,75-W-T2-Oli1-B_S84_,76-W-T2-Oli1-C_S10_,77-W-T2-Oli2-A_S20_,78-W-T2-Oli2-B_S31_,79-W-T2-Oli2-C_S41_,7-K-T1-KO-B_S65_,81-W-T2-Re1-B_S52_,82-W-T2-Re1-C_S63_,83-W-T2-Re2-A_S74_,84-W-T2-Re2-B_S85_,85-W-T2-Re2-C_S11_,88-F-T1-KO-A_S21_,89-F-T1-KO-B_S32_,8-K-T1-KO-C_S76_,90-F-T1-KO-C_S42_,91-F-T2-KO-A_S53_,92-F-T2-KO-B_S64_,93-F-T2-KO-C_S75_,94-F-T3-KO-A_S86_,9-K-T1-Oli1-A_S2_
ASV_1,158,6,2,9,0,1,2,0,2,4,1,6,23,2,4,3,0,0,0,0,1,2,5,6,10,0,17,24,21,6,2,7,6,8,8,7,5,17,6,2,7,19,16,14,9,6,9,8509,12569,11100,16808,11,13356,15490,14170,13500,7680,27407,25350,36312,36371,5,34991,7109,13250,26777,11305,14348,19644,14274,22755,22530,6,72941,16,9890,6156,36916,68,35,3,24,30,6,10,394,1
ASV_2,7163,0,1,3,0,1,0,1,1,1,14,5,3,9,2,4,0,1,0,5,1,0,6,3,10,17,2,18,14,10,0,5,2,2,15,3,12,20,1,1,10,0,759,158,366,215,465,9968,15028,12613,2192,2,1878,2442,1527,1254,1160,3569,4173,5090,7088,10,7344,6680,9304,17546,437,495,729,82,125,123,11,2090,2,17175,9754,63178,1301,646,1,933,10512,17591,13214,2378,2
ASV_3,612,1,0,3,0,0,0,1,3,3,0,0,8,5,1,0,1,0,0,2,0,1,1,3,5,0,1,4,16,2,2,6,1,1,1,2,3,0,1,0,3,2,13,0,1,1,3,1544,2130,2132,1726,2,1363,1756,4,9,4004,14804,15184,61,58,0,80,1168,1070,2498,9094,10211,17805,7,9,8,2,30244,6,14315,9368,48083,3,3,3,71,159,278,210,84,0
ASV_4,1998,0,0,5,0,0,0,0,2,0,1,1,4,7,2,6,1,0,0,2,0,0,3,0,7,0,3,34,2,0,2,0,0,1,4,3,1,7,4,2,0,3,591,146,269,124,116,3892,5836,5038,1031,7,850,1089,703,584,364,1196,1338,1310,1849,0,2041,2977,4020,7833,229,250,340,46,67,96,0,2127,0,12200,7293,45301,945,564,3,739,4127,6527,5161,2026,0
ASV_5,517,0,0,5,0,0,0,0,4,4,3,0,4,0,0,0,0,3,0,3,0,1,1,6,1,0,7,0,4,2,0,0,0,1,4,2,1,1,0,0,1,1,13,1,169,11,20,5023,7362,6780,8419,0,6720,9714,11454,10978,81,289,309,3048,3130,4,3151,9,7,10,118,100,152,10875,16846,17098,1,659,2,0,0,19,63,46,1,15,2,0,0,2,0
ASV_6,2235,0,0,0,0,0,0,0,4,1,3,10,1,9,5,1,0,0,0,0,0,0,2,4,2,0,6,42,12,3,0,7,6,1,5,0,7,0,1,7,7,11,23652,10709,9653,7856,9093,6,6,4,561,8,513,712,123,118,6,25,78,9,3,1,7,4,8,8,1942,1605,2512,134,256,92,2,43,0,3,0,3,6892,5028,2,18695,2218,2764,2652,3769,0
ASV_7,885,5,0,0,0,0,0,0,2,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,3,0,0,1,1,6,0,1,0,0,1,0,13,1,1,2,1,2,658,1,770,245,275,1458,2606,2293,3189,0,2588,2983,7636,7715,1088,3661,3415,817,933,4,897,1248,1854,3606,3639,5138,6854,5102,8315,9615,0,7690,2,260,122,949,830,455,0,1932,661,1208,932,504,0
ASV_8,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,2,0,1,0,4,4,1,2,0,1,0,0,38,1,29,44,1,3,5,0,1,4,3,2,1,24297,26488,46604,129,143,200,32,51,55,4,37,4,8,0,4,220,109,0,5,1,3,1,75,0
ASV_9,53,3,0,1,0,0,0,1,0,2,3,3,1,1,0,2,0,0,0,1,0,1,0,0,1,2,0,2,0,0,1,2,0,0,1,3,0,7,0,0,3,0,76,30,15,21,5,3057,4372,3789,3593,0,3079,3929,3446,3132,243,853,976,461,541,0,505,1399,1458,2856,4640,5130,8372,2307,4001,3540,1,7321,1,1533,1027,5879,264,171,0,620,152,231,186,392,0
ASV_10,136,0,6,3,0,0,0,0,1,0,4,9,0,4,1,0,0,0,0,0,0,0,3,0,1,0,1,12,0,10,0,0,0,2,15,3,3,0,0,3,6,1,26585,9,12321,6396,6044,8,17,13,995,1,880,1159,906,866,2,2,7,204,215,3,248,32,45,69,33,37,52,225,403,413,1,259,0,2499,1929,8499,152,71,0,3,1,4,4,9,0
